States/UTs,Crime Head,Year,Persons arrested during the year_Male,Persons arrested during the year_Female,Persons arrested during the year_Total,Total number of persons under Trial_Male,Total number of persons under Trial_Female,Total number of persons under Trial_Total,Persons whose cases trials were completed during the year_Male,Persons whose cases trials were completed during the year_Female,Persons whose cases trials were completed during the year_Total,Persons convicted_Male,Persons convicted_Female,Persons convicted_Total,Persons acquitted_Male,Persons acquitted_Female,Persons acquitted_Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,19.4 - Under PCSO Act Section 10,2014,28,0,28,22,0,22,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,19.4 - Under PCSO Act Section 10,2014,9,0,9,9,0,9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,19.4 - Under PCSO Act Section 10,2014,2,0,2,5,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipur,19.4 - Under PCSO Act Section 10,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meghalaya,19.4 - Under PCSO Act Section 10,2014,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizoram,19.4 - Under PCSO Act Section 10,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagaland,19.4 - Under PCSO Act Section 10,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,19.4 - Under PCSO Act Section 10,2014,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,19.4 - Under PCSO Act Section 10,2014,11,0,11,18,0,18,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,19.4 - Under PCSO Act Section 10,2014,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim,19.4 - Under PCSO Act Section 10,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,19.4 - Under PCSO Act Section 10,2014,29,0,29,30,0,30,4,0,4,1,0,1,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,19.4 - Under PCSO Act Section 10,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,19.4 - Under PCSO Act Section 10,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,19.4 - Under PCSO Act Section 10,2014,36,0,36,79,0,79,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,19.4 - Under PCSO Act Section 10,2014,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,19.4 - Under PCSO Act Section 10,2014,7,0,7,5,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & N Islands,19.4 - Under PCSO Act Section 10,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,19.4 - Under PCSO Act Section 10,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D&N Haveli,19.4 - Under PCSO Act Section 10,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daman & Diu,19.4 - Under PCSO Act Section 10,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi UT,19.4 - Under PCSO Act Section 10,2014,14,0,14,14,0,14,3,0,3,2,0,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshadweep,19.4 - Under PCSO Act Section 10,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puducherry,19.4 - Under PCSO Act Section 10,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (States),19.4 - Under PCSO Act Section 10,2014,186,31,217,210,31,241,6,0,6,2,0,2,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (UTs),19.4 - Under PCSO Act Section 10,2014,14,0,14,14,0,14,3,0,3,2,0,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (All India),19.4 - Under PCSO Act Section 10,2014,200,31,231,224,31,255,9,0,9,4,0,4,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,19.5 - Under PCSO Act Sections 14 & 15,2014,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,19.5 - Under PCSO Act Sections 14 & 15,2014,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,19.5 - Under PCSO Act Sections 14 & 15,2014,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu & Kashmir,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharkhand,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,19.5 - Under PCSO Act Sections 14 & 15,2014,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipur,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meghalaya,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizoram,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagaland,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,19.5 - Under PCSO Act Sections 14 & 15,2014,22,0,22,22,0,22,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,19.5 - Under PCSO Act Sections 14 & 15,2014,13,0,13,15,0,15,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,19.5 - Under PCSO Act Sections 14 & 15,2014,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & N Islands,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D&N Haveli,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daman & Diu,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi UT,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshadweep,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puducherry,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (States),19.5 - Under PCSO Act Sections 14 & 15,2014,47,0,47,49,0,49,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (UTs),19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (All India),19.5 - Under PCSO Act Sections 14 & 15,2014,47,0,47,49,0,49,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,19.6 - Other Acts of PCSO,2014,40,0,40,55,0,55,28,0,28,0,0,0,28,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,19.6 - Other Acts of PCSO,2014,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,19.6 - Other Acts of PCSO,2014,80,6,86,25,6,31,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,19.6 - Other Acts of PCSO,2014,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,19.6 - Other Acts of PCSO,2014,63,0,63,77,0,77,21,0,21,4,0,4,17,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,19.6 - Other Acts of PCSO,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,19.6 - Other Acts of PCSO,2014,8,5,13,11,4,15,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,19.6 - Other Acts of PCSO,2014,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,19.6 - Other Acts of PCSO,2014,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu & Kashmir,19.6 - Other Acts of PCSO,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharkhand,19.6 - Other Acts of PCSO,2014,21,0,21,17,0,17,6,0,6,4,0,4,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,19.6 - Other Acts of PCSO,2014,242,3,245,217,3,220,17,0,17,4,0,4,13,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,19.6 - Other Acts of PCSO,2014,136,0,136,155,0,155,2,0,2,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,19.6 - Other Acts of PCSO,2014,19,0,19,33,0,33,11,0,11,8,0,8,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,19.6 - Other Acts of PCSO,2014,30,0,30,52,0,52,3,0,3,0,0,0,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipur,19.6 - Other Acts of PCSO,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meghalaya,19.6 - Other Acts of PCSO,2014,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizoram,19.6 - Other Acts of PCSO,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagaland,19.6 - Other Acts of PCSO,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,19.6 - Other Acts of PCSO,2014,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,19.6 - Other Acts of PCSO,2014,9,0,9,6,0,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,19.6 - Other Acts of PCSO,2014,89,0,89,89,0,89,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim,19.6 - Other Acts of PCSO,2014,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,19.6 - Other Acts of PCSO,2014,266,0,266,118,0,118,9,0,9,0,0,0,9,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,19.6 - Other Acts of PCSO,2014,16,0,16,7,0,7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,19.6 - Other Acts of PCSO,2014,2,0,2,2,0,2,1,0,1,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,19.6 - Other Acts of PCSO,2014,552,0,552,470,0,470,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,19.6 - Other Acts of PCSO,2014,20,2,22,20,2,22,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,19.6 - Other Acts of PCSO,2014,156,0,156,143,0,143,8,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & N Islands,19.6 - Other Acts of PCSO,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,19.6 - Other Acts of PCSO,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D&N Haveli,19.6 - Other Acts of PCSO,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daman & Diu,19.6 - Other Acts of PCSO,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi UT,19.6 - Other Acts of PCSO,2014,32,0,32,23,0,23,4,0,4,0,0,0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshadweep,19.6 - Other Acts of PCSO,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puducherry,19.6 - Other Acts of PCSO,2014,2,0,2,7,0,7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (States),19.6 - Other Acts of PCSO,2014,1768,16,1784,1510,15,1525,107,0,107,22,0,22,77,0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (UTs),19.6 - Other Acts of PCSO,2014,34,0,34,30,0,30,4,0,4,0,0,0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (All India),19.6 - Other Acts of PCSO,2014,1802,16,1818,1540,15,1555,111,0,111,22,0,22,81,0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,2 - Infanticide (Section 315 IPC),2014,3,0,3,3,0,3,1,0,1,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,2 - Infanticide (Section 315 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,2 - Infanticide (Section 315 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,2 - Infanticide (Section 315 IPC),2014,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,2 - Infanticide (Section 315 IPC),2014,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,2 - Infanticide (Section 315 IPC),2014,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,2 - Infanticide (Section 315 IPC),2014,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,2 - Infanticide (Section 315 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,2 - Infanticide (Section 315 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu & Kashmir,2 - Infanticide (Section 315 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharkhand,2 - Infanticide (Section 315 IPC),2014,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,2 - Infanticide (Section 315 IPC),2014,8,0,8,10,0,10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,2 - Infanticide (Section 315 IPC),2014,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,2 - Infanticide (Section 315 IPC),2014,3,0,3,38,2,40,9,2,11,4,0,4,5,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,2 - Infanticide (Section 315 IPC),2014,6,4,10,39,12,51,4,0,4,0,0,0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipur,2 - Infanticide (Section 315 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meghalaya,2 - Infanticide (Section 315 IPC),2014,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizoram,2 - Infanticide (Section 315 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagaland,2 - Infanticide (Section 315 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,2 - Infanticide (Section 315 IPC),2014,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,2 - Infanticide (Section 315 IPC),2014,4,1,5,3,0,3,1,0,1,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,2 - Infanticide (Section 315 IPC),2014,9,0,9,4,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim,2 - Infanticide (Section 315 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,2 - Infanticide (Section 315 IPC),2014,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,2 - Infanticide (Section 315 IPC),2014,6,1,7,35,0,35,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,2 - Infanticide (Section 315 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,2 - Infanticide (Section 315 IPC),2014,25,0,25,166,1,167,42,0,42,25,0,25,17,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,2 - Infanticide (Section 315 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,2 - Infanticide (Section 315 IPC),2014,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & N Islands,2 - Infanticide (Section 315 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,2 - Infanticide (Section 315 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D&N Haveli,2 - Infanticide (Section 315 IPC),2014,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daman & Diu,2 - Infanticide (Section 315 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi UT,2 - Infanticide (Section 315 IPC),2014,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshadweep,2 - Infanticide (Section 315 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
